candidateId,value,universidad homologada
630633fa1e599d0009d6dee0,Ucv,Ucv
630633fa1e599d0009d6dee0,José Gálvez,José Gálvez
63063bda29da5b00089fb224,Universidad Peruana De Ciencias Aplicadas - Upc,Universidad Peruana De Ciencias Aplicadas - Upc
63063bda29da5b00089fb224,Centro Peruano De  Estudios Bancarios - Cepeban,Centro Peruano De  Estudios Bancarios - Cepeban
630644da1e599d0009d6e2f4,Instituto De Formación Bancaria - Ifb,Instituto De Formación Bancaria - Ifb
63064ec3d7fa700008e7ed19,Certus,Certus
63064fc2e86a980008de8c83,Cepeban,Cepeban
630653281e599d0009d6e817,Ifb Certus,Ifb Certus
63065b8529da5b00089fbb2f,Instituto Superior Sise,Instituto Superior Sise
63065d9d0b25100008421575,Argentina,Argentina
630665b8594e18004af047fc,Ifb Certus,Ifb Certus
630665b8594e18004af047fc,"I. E 00 María Auxiliadora, Cercado De Lima","I. E 00 María Auxiliadora, Cercado De Lima"
630665b8594e18004af04803,Zegel Ipae,Zegel Ipae
630665b8594e18004af04810,Instituto Superior Tecnologico Idat,Instituto Superior Tecnologico Idat
630665b8594e18004af04816,Universidad Privada Del Norte - Upn,Universidad Privada Del Norte - Upn
630665b8594e18004af0481e,Ifb Certus,Ifb Certus
630665b8594e18004af04825,Universidad Nacional Agraria La Molina,Universidad Nacional Agraria La Molina
630665b8594e18004af0482e,Instituto Superior Sise,Instituto Superior Sise
630665b8594e18004af04835,Universidad Privada San Juan Bautista,Universidad Privada San Juan Bautista S.A.C.
630665b8594e18004af0483b,Instituto De Educación Superior Privado Certus,Instituto De Educación Superior Privado Certus
630665b8594e18004af04842,Universidad Peruana De Ciencias Aplicadas (upc),Universidad Peruana De Ciencias Aplicadas (upc)
630665b8594e18004af0484f,Idat,Idat
630665b8594e18004af0484f,Manuel Scorza Torres,Manuel Scorza Torres
630665b8594e18004af04856,Instituto Cepeban,Instituto Cepeban
630665b8594e18004af0485d,Universidad De Ciencias Aplicadas,Universidad De Ciencias Aplicadas
630665b8594e18004af04864,Universidad Peruana De Ciencias Aplicadas - Upc,Universidad Peruana De Ciencias Aplicadas - Upc
630665b8594e18004af0486d,Certus,Certus
630665b8594e18004af04876,Certus,Certus
630665b8594e18004af0487f,Sise,Sise
